iter	Passed	Remaining
0	140	140564
1	142	70883
2	143	47651
3	144	36094
4	146	29164
5	148	24534
6	149	21267
7	151	18792
8	153	16852
9	154	15281
10	155	14001
11	157	12933
12	158	12037
13	160	11299
14	162	10656
15	163	10068
16	165	9568
17	166	9104
18	168	8694
19	169	8326
20	171	7991
21	172	7678
22	174	7409
23	175	7152
24	177	6917
25	178	6704
26	180	6500
27	182	6322
28	183	6150
29	185	5993
30	186	5838
31	188	5688
32	189	5554
33	191	5429
34	192	5313
35	194	5196
36	195	5088
37	196	4986
38	198	4888
39	199	4794
40	201	4707
41	202	4622
42	204	4541
43	205	4467
44	207	4393
45	208	4321
46	209	4252
47	211	4188
48	212	4126
49	213	4065
50	215	4007
51	216	3950
52	218	3896
53	219	3849
54	221	3798
55	222	3749
56	224	3709
57	225	3666
58	227	3627
59	228	3584
60	230	3543
61	231	3501
62	232	3463
63	234	3430
64	236	3395
65	237	3361
66	238	3325
67	239	3286
68	241	3255
69	242	3224
70	244	3193
71	245	3160
72	246	3130
73	248	3104
74	249	3081
75	251	3054
76	252	3028
77	254	3004
78	255	2979
79	256	2954
80	258	2929
81	259	2905
82	260	2881
83	262	2860
84	263	2835
85	264	2816
86	265	2790
87	267	2769
88	268	2749
89	270	2732
90	271	2713
91	272	2693
92	274	2673
93	275	2655
94	276	2635
95	278	2618
96	279	2604
97	281	2586
98	282	2569
99	283	2554
100	285	2540
101	286	2519
102	287	2504
103	288	2488
104	290	2472
105	291	2460
106	293	2447
107	294	2434
108	296	2420
109	297	2406
110	298	2392
111	300	2378
112	301	2365
113	302	2351
114	303	2336
115	304	2321
116	305	2308
117	307	2297
118	308	2285
119	310	2273
120	311	2261
121	312	2250
122	313	2235
123	314	2224
124	316	2213
125	317	2202
126	318	2191
127	319	2177
128	320	2167
129	322	2158
130	323	2148
131	325	2139
132	327	2131
133	328	2122
134	329	2112
135	331	2103
136	332	2095
137	333	2086
138	335	2079
139	337	2073
140	338	2064
141	340	2055
142	341	2046
143	342	2037
144	344	2029
145	345	2020
